id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13705330,"Centre of Old Town Cool Space (sleeps 6, 2 shower)",41594688,Mike,,"Old Town, Princes Street and Leith Street",55.94824,-3.18341,Entire home/apt,75,2,199,2019-02-06,6.33,1,100
13706684,Spacious family-friendly flat near golf courses,59594883,Monica,,Craigmillar,55.9158,-3.15037,Entire home/apt,110,3,1,2016-08-08,0.03,1,0
13706880,Doune Terrace Apartment: Edinburgh New Town Prime Location,79991656,Simone,,New Town West,55.95561,-3.20736,Entire home/apt,80,2,79,2019-02-05,2.57,1,198
13707337,Bright and spacious maindoor Marchmont flat,80008921,Giles,,Marchmont West,55.93602,-3.19834,Entire home/apt,125,2,34,2019-02-10,1.11,1,0
13708049,SALE! Spacious & Central 2 Bedroom Flat,80020473,David,,Easter Road and Hawkhill Avenue,55.96343,-3.17129,Entire home/apt,66,2,39,2018-11-25,1.24,1,200
13708208,Edinburgh City  Castle View Apartment,65554151,Ed,,"Old Town, Princes Street and Leith Street",55.94674,-3.19702,Entire home/apt,87,2,40,2018-07-25,1.26,4,0
13708300,Cosy 2 bed flat with private garden,67582774,Marie,,Pilrig,55.96729,-3.17789,Entire home/apt,120,3,1,2016-08-30,0.03,1,0
13708385,"Central, cosy and bright one bedroom flat.",5947331,Gina,,Shandon,55.93594,-3.22199,Entire home/apt,60,2,5,2016-08-28,0.16,1,0
13709052,Edinburgh Waterfront Mill Cottage,64888433,John,,Cramond,55.98008,-3.29974,Entire home/apt,66,1,333,2019-02-12,10.55,1,282
13709326,"Traditional, central 2 double-bedroom property",53119009,David,,Meadows and Southside,55.93902,-3.18071,Entire home/apt,92,2,113,2018-09-23,3.59,1,0
13709590,Spacious & bright bedroom close to city centre,80039736,Sonia,,Great Junction Street,55.97013,-3.1741,Private room,35,3,24,2017-01-02,0.77,2,0
13710549,Sunny flat on The Shore,15507821,Kirsty,,Great Junction Street,55.97426,-3.17128,Entire home/apt,50,2,22,2018-12-30,0.72,1,0
13711457,Great aparment in central Edinburgh.,80061675,Billy,,Hillside and Calton Hill,55.96105,-3.17357,Entire home/apt,90,2,5,2016-08-28,0.16,1,0
13711917,Beautiful Victorian Flat Located in Holyrood Park,31475380,Kieran,,Abbeyhill,55.95388,-3.16786,Entire home/apt,60,2,58,2019-02-03,1.89,1,155
13714521,Room in bright cheery Edinburgh flat,1833993,Rebecca,,Tollcross,55.94382,-3.20147,Private room,60,1,4,2016-09-23,0.13,2,0
13719469,"Fresh, spacious bedroom, Edinburgh on 'The Shore'.",65852335,Nikki,,Western Harbour and Leith Docks,55.97926,-3.18226,Private room,30,7,3,2016-08-27,0.10,1,0
13719766,Perfect 1 bed flat to explore Edinburgh's sights,65330671,Sakina,,Gorgie West,55.93857,-3.23431,Entire home/apt,75,1,125,2018-12-23,4.05,1,0
13720323,Edinburgh's New Town - Stunning location 2 Bed App,60087849,Deborah,,New Town West,55.95603,-3.19612,Entire home/apt,150,2,59,2019-01-01,1.88,1,79
13720447,Rooftop Design loft with incredible views,7201461,Suzanne,,The Shore and Constitution Street,55.97348,-3.16776,Entire home/apt,95,2,10,2016-12-05,0.32,1,0
13723340,New haven harbour,30394584,Uma,,Western Harbour and Leith Docks,55.98455,-3.19193,Private room,28,1,8,2016-08-07,0.25,1,0
13723486,Garden Patio City Center Apartment,42409925,Karen,,Tollcross,55.94684,-3.21289,Entire home/apt,100,2,8,2016-11-21,0.26,5,0
13724395,Double bedroom in central location,36559544,Angus,,Dalry and Fountainbridge,55.94442,-3.21289,Private room,45,3,78,2018-09-04,2.54,1,17
13728436,Peaceful pretty double room,6182975,Mary,,Blackhall,55.95736,-3.24445,Private room,100,1,2,2017-05-28,0.08,2,0
13728554,City Centre 2 Bedroom Apartment,80288040,Elaine,,Tollcross,55.94994,-3.20808,Entire home/apt,225,5,5,2018-08-15,0.16,1,69
13728671,Two Bedroom Apartment in Marchmont,78616447,Andrew,,The Grange,55.93617,-3.19218,Entire home/apt,105,2,5,2016-08-17,0.16,1,0
13729103,Stunning 2 bedroom apartment in fantastic location,7542385,Vicky,,Bruntsfield,55.93909,-3.2152,Entire home/apt,150,7,6,2019-01-03,0.27,19,178
13729573,Bright Garden Flat - New Town - Close to centre,41142369,Sarah,,Stockbridge,55.95996,-3.20569,Entire home/apt,70,3,12,2018-08-22,0.38,2,78
13730277,Double room in beautiful flat near Leith Walk,62804263,Hazel,,Broughton South,55.96452,-3.18159,Private room,52,2,1,2016-08-14,0.03,1,0
13733317,Comfy single bedroom / Heart of the city,29713575,Shu-Ting,,"Canongate, Southside and Dumbiedykes",55.94798,-3.18264,Private room,36,1,2,2016-08-17,0.06,1,0
13739821,"Double room in Victorian era flat, Morningside",50133102,Jeremy,,Morningside,55.92926,-3.20423,Private room,39,1,8,2016-09-24,0.26,1,0
13740677,Double room next to Leith Walk,80438108,Emer,,Great Junction Street,55.96938,-3.17359,Private room,27,2,3,2017-08-27,0.10,1,0
13740967,Spacious 2BD apartment with Parking,78811556,Nauman,,Great Junction Street,55.97292,-3.17234,Entire home/apt,40,2,87,2018-12-30,2.83,1,165
13741044,"City centre, spacious double room",80444289,Gilly,,New Town West,55.95431,-3.20518,Private room,100,2,41,2018-09-07,1.34,1,13
13741429,CityLivein Grove Street - Double Room,80447250,Tony,,Dalry and Fountainbridge,55.94386,-3.21131,Entire home/apt,1000,2,4,2016-08-31,0.13,21,0
13741457,CityLivein Grove Street,80447250,Tony,,Dalry and Fountainbridge,55.9443,-3.21124,Entire home/apt,1000,1,1,2016-07-27,0.03,21,90
13742865,Lovely light room in family home.,4025716,Sophie,,Willowbrae and Duddingston Village,55.95359,-3.14731,Private room,30,1,119,2018-08-22,3.75,3,0
13745168,Apartment Centrale2,76283223,Martino,,Broughton North and Powderhall,55.96757,-3.19136,Entire home/apt,100,4,1,2017-08-22,0.06,7,200
13745466,"City centre, single room w dbl bed, lgbt+ friendly",6273194,Alistair,,Easter Road and Hawkhill Avenue,55.96062,-3.17185,Private room,34,3,8,2019-02-11,0.26,1,80
13745468,Double deluxe suite,77785626,Christine,,Bonaly and The Pentlands,55.91019,-3.26547,Private room,90,1,4,2018-06-10,0.19,2,364
13745784,"Stylish Leith flat, a home from home, all welcome",7604561,Jane,,Easter Road and Hawkhill Avenue,55.96341,-3.17127,Entire home/apt,90,3,10,2018-04-16,0.31,1,362
13745807,CityLivein Grove Street - 4 Bedroom Apartment,80447250,Tony,,Dalry and Fountainbridge,55.94522,-3.21123,Entire home/apt,5000,1,0,,,21,89
13748596,Spacious Double bedroom in central Edinburgh,52037033,Laura,,Gorgie East,55.93531,-3.22987,Private room,40,1,5,2017-06-10,0.16,1,0
13748921,"Quiet, bright, central apartment",80534225,Margaret,,Tollcross,55.94254,-3.20334,Entire home/apt,99,2,183,2019-01-26,5.92,1,69
13756603,Central location. Room in nice shared apartment,44046211,Carsten,,New Town West,55.95699,-3.19783,Private room,67,1,9,2017-08-24,0.29,1,0
13756769,CityLivein Grove Street - 3 Bedroom Apartment,80447250,Tony,,Dalry and Fountainbridge,55.9441,-3.21264,Entire home/apt,3000,1,0,,,21,89
13756895,CityLivein Grove Street - 5 Bedroom Apartment,80447250,Tony,,Dalry and Fountainbridge,55.94536,-3.21068,Entire home/apt,7000,1,1,2016-08-30,0.03,21,89
