DZ,DZname,LAname
S01008843,Broughton South - 04,City of Edinburgh
S01008844,Broughton South - 05,City of Edinburgh
S01008845,New Town East and Gayfield - 01,City of Edinburgh
S01008846,New Town East and Gayfield - 02,City of Edinburgh
S01008847,New Town East and Gayfield - 03,City of Edinburgh
S01008848,New Town East and Gayfield - 04,City of Edinburgh
S01008849,New Town West - 01,City of Edinburgh
S01008850,New Town West - 02,City of Edinburgh
S01008851,New Town West - 03,City of Edinburgh
S01008852,New Town West - 04,City of Edinburgh
S01008853,Canonmills and New Town North - 01,City of Edinburgh
S01008854,Canonmills and New Town North - 02,City of Edinburgh
S01008855,Canonmills and New Town North - 03,City of Edinburgh
S01008856,Canonmills and New Town North - 04,City of Edinburgh
S01008857,Stockbridge - 01,City of Edinburgh
S01008858,Stockbridge - 02,City of Edinburgh
S01008859,Stockbridge - 03,City of Edinburgh
S01008860,Stockbridge - 04,City of Edinburgh
S01008861,Stockbridge - 05,City of Edinburgh
S01008862,Stockbridge - 06,City of Edinburgh
S01008863,Stockbridge - 07,City of Edinburgh
S01008864,Comely Bank - 01,City of Edinburgh
S01008865,Comely Bank - 02,City of Edinburgh
S01008866,Comely Bank - 03,City of Edinburgh
S01008867,Comely Bank - 04,City of Edinburgh
S01008868,Deans Village - 01,City of Edinburgh
S01008869,Deans Village - 02,City of Edinburgh
S01008870,Deans Village - 03,City of Edinburgh
S01008871,Deans Village - 04,City of Edinburgh
S01008872,Deans Village - 05,City of Edinburgh
S01008873,Deans Village - 06,City of Edinburgh
S01008874,Deans Village - 07,City of Edinburgh
S01008875,Balgreen and Roseburn - 01,City of Edinburgh
S01008876,Balgreen and Roseburn - 02,City of Edinburgh
S01008877,Balgreen and Roseburn - 03,City of Edinburgh
S01008878,Balgreen and Roseburn - 04,City of Edinburgh
S01008879,Balgreen and Roseburn - 05,City of Edinburgh
S01008880,Balgreen and Roseburn - 06,City of Edinburgh
S01008881,Murrayfield and Ravelston - 01,City of Edinburgh
S01008882,Murrayfield and Ravelston - 02,City of Edinburgh
S01008883,Murrayfield and Ravelston - 03,City of Edinburgh
S01008884,Murrayfield and Ravelston - 04,City of Edinburgh
S01008885,Murrayfield and Ravelston - 05,City of Edinburgh
S01008886,"Craigleith, Orchard Brae and Crewe Toll - 01",City of Edinburgh
S01008887,"Craigleith, Orchard Brae and Crewe Toll - 02",City of Edinburgh
S01008888,"Craigleith, Orchard Brae and Crewe Toll - 03",City of Edinburgh
S01008889,"Craigleith, Orchard Brae and Crewe Toll - 04",City of Edinburgh
S01008890,"Craigleith, Orchard Brae and Crewe Toll - 05",City of Edinburgh
S01008891,"Craigleith, Orchard Brae and Crewe Toll - 06",City of Edinburgh
S01008892,Blackhall - 01,City of Edinburgh
S01008893,Blackhall - 02,City of Edinburgh
S01008894,Blackhall - 03,City of Edinburgh
S01008895,Blackhall - 04,City of Edinburgh
S01008896,Blackhall - 05,City of Edinburgh
S01008897,Blackhall - 06,City of Edinburgh
S01008898,Blackhall - 07,City of Edinburgh
S01008899,Drylaw - 01,City of Edinburgh
S01008900,Drylaw - 02,City of Edinburgh
S01008901,Drylaw - 03,City of Edinburgh
S01008902,Drylaw - 04,City of Edinburgh
S01008903,Drylaw - 05,City of Edinburgh
S01008904,West Pilton - 01,City of Edinburgh
S01008905,West Pilton - 02,City of Edinburgh
S01008906,West Pilton - 03,City of Edinburgh
S01008907,West Pilton - 04,City of Edinburgh
S01008908,West Pilton - 05,City of Edinburgh
S01008909,Boswall and Pilton - 01,City of Edinburgh
S01008910,Boswall and Pilton - 02,City of Edinburgh
S01008911,Boswall and Pilton - 03,City of Edinburgh
S01008912,Boswall and Pilton - 04,City of Edinburgh
S01008913,Boswall and Pilton - 05,City of Edinburgh
S01008914,Boswall and Pilton - 06,City of Edinburgh
S01008915,Boswall and Pilton - 07,City of Edinburgh
S01008916,Granton South and Wardieburn - 01,City of Edinburgh
S01008917,Granton South and Wardieburn - 02,City of Edinburgh
S01008918,Granton South and Wardieburn - 03,City of Edinburgh
S01008919,Granton South and Wardieburn - 04,City of Edinburgh
S01008920,Granton and Royston Mains - 01,City of Edinburgh
